index,value
0,3.2465479251217264
1,9.371254439613322
2,15.839702674512399
3,22.010908535597792
4,28.481859969570664
5,34.48860040767877
6,41.01430087698384
7,47.14368088219316
8,53.34193331066504
9,59.64187183480063
10,65.94141099456623
11,72.29904762720543
12,78.59209988854838
13,84.76563164653055
14,91.10375149487791
15,97.60359929714477
16,103.84531188547325
17,109.99937524261016
18,116.24272853063917
19,122.53411662267375
20,128.86665059445454
21,134.98620484784126
22,141.34593175779835
23,147.48799631133252
24,153.97796233816038
25,160.2859449270497
26,166.4560919940291
27,172.94499462376763
28,178.94820468831796
29,185.2075290737768
30,191.65959705083338
31,198.0250470064182
32,204.37191525248232
33,210.44081936422924
34,216.87776118103886
35,223.04922755792526
36,229.3190009820608
37,235.70781501298316
38,241.96786661425543
39,248.02818041789524
40,254.61665897574582
41,260.8901993833676
42,266.9728192849815
43,273.35814121565573
44,279.65114918811986
45,285.91099885325355
46,292.1130862684662
47,298.38413975423657
48,304.7319319911108
49,311.1349456073155
50,317.35521802802856
51,323.54698188654004
52,329.9443984979931
53,335.86555967204487
54,342.54847581132464
55,348.5428131705892
56,354.9637257615063
57,361.17118817336365
58,367.4368723224337
59,373.9656084559232
60,380.08594096423377
61,386.4505467797176
62,392.6943896408362
63,399.02997108862604
64,405.27313450218935
65,411.4203383978441
66,417.9314496093872
67,424.0656325763059
68,430.2425353519357
69,436.63856733288463
70,443.11464013522425
71,449.3327716375518
72,455.4960695570792
73,461.77919430726774
74,468.06514187975745
75,474.58816549041484
76,480.70186954446154
77,486.989865471137
78,493.33307495900067
79,499.53711083667974
80,505.7705130133746
81,512.0599675502277
82,518.3556277163744
83,524.6422509258445
84,531.0019214110388
85,537.2175383524353
86,543.5687930787558
87,549.7706427202029
88,556.069763204425
89,562.1452649241198
90,568.7199030672228
91,574.9461044545219
92,581.2944419250977
93,587.188200683472
94,593.969848998949
95,600.030237872835
96,606.4382004245039
97,612.5065768572971
98,618.9550301476954
99,625.0715965080515
100,631.3977464754788
101,637.9347118141146
102,644.0074257458313
103,650.331422580405
104,656.6798713733357
105,662.9256180962436
106,669.1742771051403
107,675.4789166220521
108,681.9659473875089
109,688.0030292564613
110,694.3120863480158
111,700.6802271901246
112,706.9688996509992
113,713.260235395439
114,719.4885906942654
115,725.5936024879692
116,732.154431439652
117,738.1596390542995
118,744.5877224473048
119,750.7652166229585
120,757.1174156804809
121,763.43989106335
122,769.7223358510444
123,776.0155775121024
124,782.4179418707644
125,788.5851094811895
126,794.7985256946886
127,801.2025353822261
128,807.5082590214693
129,813.5497364982427
130,820.0154225939209
131,826.3089851683467
132,832.4922968509592
133,838.9428091898059
134,845.0734182569511
135,851.384166768181
136,857.6374872475852
137,863.9395376419512
138,870.1115375356832
139,876.3603452632929
140,882.9469861650543
141,888.9860248310797
142,895.2547670381455
143,901.4217525689103
144,907.8563807126812
145,914.071153215289
146,920.650849017823
147,926.8708145179232
148,932.9842030816508
149,939.5614470038826
150,945.7175652792268
151,951.8700908993565
152,957.9358187733995
153,964.6980389093255
154,970.6131727125697
155,976.8707753917299
156,983.4207576168062
157,989.8456611214189
158,996.0232984698155
159,1002.2244474071492
160,1008.5107172364901
161,1014.8197686653812
162,1021.0935052756614
163,1027.3289168662593
164,1033.5944031414372
165,1039.8609090254315
166,1046.0749571865144
167,1052.405471444894
168,1058.5474285783407
169,1064.9900756042603
170,1071.1842357634043
171,1077.4559212495776
172,1083.867454903594
173,1090.2718510242928
174,1096.5076677634381
175,1102.5419713496551
176,1108.88324390354
177,1115.3594691431754
178,1121.4503285922024
179,1127.809299323736
180,1134.1699531558177
181,1140.3012988076086
182,1146.6918561108891
183,1152.8311013179623
184,1159.1875524102386
185,1165.5628526752275
186,1171.6547604156397
187,1178.1412925699685
188,1184.3784666234592
189,1190.7188647059731
190,1196.9691924311176
191,1203.366400367888
192,1209.5256940823353
193,1215.7534163851376
194,1222.0917719967329
195,1228.4170573565127
196,1234.6507988678213
197,1240.9331573370887
198,1247.1420843063672
199,1253.4291786905724
200,1259.638393562327
201,1266.2367970710052
202,1272.220638380327
203,1278.5589194912664
204,1284.8395545916685
205,1291.2840730630994
206,1297.4482709647555
207,1303.8857254470315
208,1309.9767874845193
209,1316.3552212703457
210,1322.5269724559769
211,1329.1082073812597
212,1335.058117933759
213,1341.4910451538644
214,1347.8066260781145
215,1354.067813606946
216,1360.2910902384926
217,1366.5798222415867
218,1372.8803707659374
219,1379.1444747257563
220,1385.5387481447783
221,1391.9465978404373
222,1397.9529816689571
223,1404.1549358566795
224,1410.5662732569822
225,1417.1162577027621
226,1423.0611046193794
227,1429.5885690639004
228,1435.8756127719432
229,1441.9356691735443
230,1448.3311116128132
231,1454.720238274387
232,1460.802671145155
233,1467.103411190423
234,1473.348786442218
235,1479.5886641677234
236,1485.9083973934655
237,1492.1341164284756
238,1498.5431041091572
239,1504.745883746405
240,1511.1294449678696
241,1517.2336621192496
242,1523.705525014271
243,1530.03897519439
244,1536.0394340411515
245,1542.5593985695732
246,1548.9279451190155
247,1554.9673994250786
248,1561.538806072811
249,1567.6966360422434
250,1573.8674182629104
251,1580.2155278479001
252,1586.5601227540976
253,1592.7950759091664
254,1599.1245362764494
255,1605.2617786250762
256,1611.6539673739676
257,1617.778845149053
258,1624.1922792997882
259,1630.3961964489563
260,1636.6962195260232
261,1643.1765671449828
262,1649.4452741467007
263,1655.6802422539117
264,1661.7932824725333
265,1668.1540582112107
266,1674.5901941333575
267,1680.7662413619034
268,1687.2671879317172
269,1693.357772068838
270,1699.6208305037271
271,1705.8538992528374
272,1712.1813502969155
273,1718.4359345299788
274,1724.8051776884652
275,1731.1132223596553
276,1737.2221384891047
277,1743.4507994469795
278,1749.6834875122045
279,1756.2010924893857
280,1762.3231420032566
281,1768.5013749117584
282,1775.0387071386863
283,1781.532334537156
284,1787.5656128014382
285,1793.933254277217
286,1800.1407734428062
287,1806.4058868488119
288,1812.7908687696095
289,1818.9531189740715
290,1825.292070967077
291,1831.580686823469
292,1837.7648933046646
293,1844.2140918921623
294,1850.3805769887185
295,1856.6056837556184
296,1863.0180945631043
297,1869.1577820877478
298,1875.5336323088434
299,1881.8130876006217
300,1888.205774364049
301,1894.4278399379332
302,1900.6610527259504
303,1907.0285173589245
304,1913.3689467910858
305,1919.5688923739988
306,1925.7973319125274
307,1931.9482983344876
308,1938.2561558985947
309,1944.6153301016466
310,1950.8680866590457
311,1957.1935260561427
312,1963.5010734861105
313,1969.831563076236
314,1976.054729230174
315,1982.3936145795421
316,1988.63459716382
317,1994.713788372883
318,2001.1005867973163
319,2007.4632968883056
320,2013.6399214767735
321,2020.1040691312367
322,2026.480336648651
323,2032.7323230577658
324,2038.8722878926828
325,2045.3258901006402
326,2051.4748695398553
327,2057.7094795042026
328,2063.9650331421403
329,2070.2793117470246
330,2076.553926340999
331,2082.8929709522704
332,2089.1751720353177
333,2095.442604546407
334,2101.7691790685462
335,2108.1277351862295
336,2114.386811279475
337,2120.4265513762657
338,2126.6028343667995
339,2133.2348437785936
340,2139.2879092248077
341,2145.6853058616393
342,2151.873956406402
343,2158.09395497243
344,2164.611484596188
345,2170.9164391465774
346,2177.0660578976535
347,2183.1477900156915
348,2189.635455107261
349,2196.0124452598056
350,2202.1085590095677
351,2208.5579714656023
352,2214.821289795887
353,2221.163935237944
354,2227.401149432005
355,2233.5750698082547
356,2240.075219159689
357,2246.2228943593996
358,2252.519202169931
359,2258.7117911351543
360,2265.043975013122
361,2271.283008274018
362,2277.6373792466075
363,2284.109030007794
364,2290.083854352666
365,2296.3428736343512
366,2302.9345321140677
367,2309.049668020783
368,2315.2868784218117
369,2321.7409614715966
370,2327.859594756063
371,2334.3859425885707
372,2340.55431951153
373,2346.720921090761
374,2353.2686283600815
375,2359.275511353634
376,2365.6934776903154
377,2371.9323827183343
378,2378.3158128964133
379,2384.624975194326
380,2390.755209796739
381,2396.9598529019777
382,2403.3643772104856
383,2409.5337937663962
384,2416.0860893353033
385,2422.181589450839
386,2428.4145890697787
387,2434.752774562676
388,2440.882779210316
389,2447.2035157425976
390,2453.703903844423
391,2459.8013583329107
392,2466.0455419697196
393,2472.4870836504197
394,2478.8351740978133
395,2485.071684320593
396,2491.382579065287
397,2497.4904800950285
398,2503.707163844391
399,2510.28266358344
400,2516.38344754154
401,2522.673817530959
402,2529.114905553968
403,2535.3208944479034
404,2541.5940455313507
405,2548.0481422958123
406,2554.0504755454635
407,2560.4907966884894
408,2566.6868992953505
409,2572.991242517927
410,2579.4004154398613
411,2585.5815374800286
412,2591.8677688194844
413,2598.2043752524896
414,2604.3438145529844
415,2610.579574166384
416,2616.8421995208955
417,2623.0332300885393
418,2629.718671767651
419,2635.685915525264
420,2642.0572963066575
421,2648.334925646207
422,2654.676532953156
423,2661.0105513118087
424,2667.2982102465703
425,2673.437040461057
426,2679.761821340715
427,2686.089976814322
428,2692.320035013834
429,2698.7888239912345
430,2704.9603722359757
431,2711.2679478265964
432,2717.543933482038
433,2723.878178048099
434,2730.062118125401
435,2736.197518081914
436,2742.650355379065
437,2748.82843620169
438,2755.1238955300737
439,2761.5185789073034
440,2767.866956119751
441,2774.0284402774605
442,2780.340381728227
443,2786.76290522861
444,2792.8999443592747
445,2799.419222659924
446,2805.498790620248
447,2811.5493486869495
448,2818.0839444321546
449,2824.3299114157126
450,2830.7039561598117
451,2836.9254843267104
452,2843.127505900364
453,2849.3021069823135
454,2855.6868197873937
455,2861.9058553748805
456,2868.216040382501
457,2874.616135875103
458,2881.0074537922756
459,2887.1631158020023
460,2893.287245649996
461,2899.734479530201
462,2906.0928677192232
463,2912.195411587306
464,2918.5261734682504
465,2924.8242293115704
466,2931.0274559679688
467,2937.453959149841
468,2943.6602215987755
469,2949.9974549652065
470,2956.149937810215
471,2962.4781265051424
472,2968.877295778137
473,2975.050959634325
474,2981.544124641837
475,2987.6146499453316
476,2993.9602673436484
477,3000.3142432614395
478,3006.3623329121388
479,3012.6112739114133
480,3018.9179744683343
481,3025.4799838173135
482,3031.5817248995613
483,3038.1759159498965
484,3044.1468565686437
485,3050.504921766009
486,3056.9238629381252
487,3063.2534465388644
488,3069.5421729148916
489,3075.740044487467
490,3082.004799424168
491,3088.2448311736866
492,3094.546599893563
493,3100.696830521493
494,3106.953314511963
495,3113.317982261744
496,3119.5844865524123
497,3125.8393675169114
498,3132.2375143737695
499,3138.5465914570605
500,3144.7430869320124
501,3151.165184558668
502,3157.186447946329
503,3163.5644362189937
504,3169.795305240041
505,3175.9635191175735
506,3182.4250900178763
507,3188.704368642802
508,3195.151073675144
509,3201.345995176455
510,3207.4636806327458
511,3214.0346938789917
512,3220.25457329909
513,3226.4738650070644
514,3232.676192134012
515,3238.8860819274046
516,3245.227990480649
517,3251.6572713274063
518,3258.0200404032094
519,3264.269091432622
520,3270.349067444796
521,3276.5691759508254
522,3282.9784116260253
523,3289.070664371957
524,3295.5630103871117
525,3301.7991186642425
526,3308.0504605798656
527,3314.220779230505
528,3320.7147948550682
529,3326.893350067625
530,3333.1128137751994
531,3339.225764544622
532,3345.7934245826245
533,3352.2565865399765
534,3358.5286726089435
535,3364.60002236901
536,3370.8686960958116
537,3377.258980034635
538,3383.395449372288
539,3389.8086524133687
540,3396.138266558405
541,3402.4675371601343
542,3408.6180137372776
543,3414.8908470770875
544,3421.106601500609
545,3427.3948970310603
546,3433.738122484454
547,3440.080692231505
548,3446.4184994506263
549,3452.5300084001146
550,3459.042780459258
551,3465.149584549438
552,3471.4577454872865
553,3477.668346355986
554,3483.783828805053
555,3490.3978426778963
556,3496.666307835149
557,3502.8476759969076
558,3509.165693131521
559,3515.493773288749
560,3521.5691100884696
561,3527.955644713603
562,3534.3711617564795
563,3540.44949165338
564,3546.8874616960934
565,3553.0056330295934
566,3559.471119515479
567,3565.7040976761855
568,3571.829333950004
569,3578.39050637422
570,3584.483758588274
571,3590.7593778094324
572,3597.1436452800363
573,3603.5216374024358
574,3609.5883767927744
575,3615.9793122668366
576,3622.2992112390643
577,3628.6088254569377
578,3634.840344358918
579,3641.069182726662
580,3647.306311795685
581,3653.680870513234
582,3659.8482275309107
583,3665.946491690939
584,3672.565468026884
585,3678.895390837756
586,3684.8518894172735
587,3691.270394897536
588,3697.716468701287
589,3704.143488129337
590,3710.2230032603134
591,3716.4313089026023
592,3722.769004859794
593,3729.2079674529996
594,3735.2890687003514
595,3741.5569312247785
596,3747.8717613804047
597,3754.107888178977
598,3760.4986733785818
599,3766.932059500009
600,3773.085084888653
601,3779.3107269183083
602,3785.589966448809
603,3791.7460138020106
604,3798.2738291677747
605,3804.460919777538
606,3810.73384081306
607,3817.354384868383
608,3823.348134709615
609,3829.526265620948
610,3835.841994273517
611,3842.2826599112364
612,3848.4623276885504
613,3854.5903581568446
614,3861.1092941553134
615,3867.2337421604816
616,3873.7710716538368
617,3879.974931989966
618,3886.105380301008
619,3892.5613994339274
620,3898.723268655986
621,3905.0849457796253
622,3911.3313270010217
623,3917.4814033609728
624,3923.78486935042
625,3930.2354057225893
626,3936.3821174148
627,3942.658415408866
628,3948.8864533044352
629,3955.3075107761088
630,3961.7545886686535
631,3967.724768192483
632,3974.1171287367556
633,3980.5391141538094
634,3986.673113266323
635,3993.0094998922523
636,3999.141208666992
637,4005.5734640367073
638,4011.795104207665
639,4018.1955769409137
640,4024.4989278536814
641,4030.9223309199065
642,4037.0045231802055
643,4043.262324801722
644,4049.5323689074007
645,4055.7607991551417
646,4062.113149475949
647,4068.332946257768
648,4074.662517803589
649,4081.060616766702
650,4087.111388063793
651,4093.6092154836133
652,4099.910124441414
653,4106.04979138916
654,4112.132598059138
655,4118.567186657509
656,4125.040853618055
657,4131.192052664348
658,4137.3775945545285
659,4143.7102325928145
660,4150.127957394767
661,4156.381754056116
662,4162.586372796559
663,4168.856768872474
664,4175.1374608059305
665,4181.367580909564
666,4187.904544804142
667,4193.9939604954525
668,4200.431093701635
669,4206.7446947619255
670,4212.975579553728
671,4219.11577173982
672,4225.482492087305
673,4231.722884824812
674,4237.918119506558
675,4244.3241109279825
676,4250.456956327874
677,4256.976813553016
678,4263.094769191619
679,4269.444532194116
680,4275.735930322863
681,4281.964896345517
682,4288.332641530215
683,4294.509667091585
684,4300.927472494172
685,4306.988930103582
686,4313.41935133674
687,4319.883791585871
688,4325.873050860685
689,4332.188494803272
690,4338.59084539247
691,4344.840598092878
692,4351.140888231791
693,4357.437929242058
694,4363.735667983078
695,4370.066351127598
696,4376.2795483162745
697,4382.4976259923
698,4388.872194435061
699,4395.27811056561
700,4401.358044304662
701,4407.557040056013
702,4414.048386360589
703,4420.208825484444
704,4426.286781953417
705,4432.871976382913
706,4439.016886703783
707,4445.344551501327
708,4451.669988169793
709,4457.939025411894
710,4464.27410593281
711,4470.4427974212185
712,4476.820841945272
713,4483.026762004877
714,4489.409783027903
715,4495.680624035395
716,4501.808728723969
717,4508.294056112971
718,4514.415046864021
719,4520.832634295541
720,4527.0717425542325
721,4533.502017497751
722,4539.579037839014
723,4545.8496380648185
724,4552.165813091022
725,4558.420622380507
726,4564.814119856163
727,4570.855679912305
728,4577.195128038415
729,4583.47690129535
730,4589.961897653885
731,4596.321113539126
732,4602.422792587194
733,4608.699540643907
734,4615.006613339717
735,4621.398981260847
736,4627.473243424346
737,4633.873000943218
738,4640.229869115103
739,4646.465644076298
740,4652.717678128143
741,4659.08200988292
742,4664.9947673515435
743,4671.616063419976
744,4677.7660536268895
745,4683.931583212696
746,4690.448952069514
747,4696.818382971257
748,4702.950457572458
749,4709.34267518582
750,4715.691800864079
751,4721.945249790818
752,4728.260940105575
753,4734.454341708926
754,4740.670857630888
755,4746.786302992988
756,4753.2050786325435
757,4759.4285455290055
758,4766.013149767466
759,4772.061652221652
760,4778.374746590754
761,4784.700759954859
762,4790.933156969072
763,4797.381487135657
764,4803.432902402621
765,4809.797813391498
766,4815.987290894583
767,4822.21272100921
768,4828.566731658422
769,4834.907390194987
770,4841.151348959419
771,4847.408222391063
772,4853.620018049864
773,4860.035524546147
774,4866.176548373186
775,4872.686211314139
776,4878.901635000242
777,4885.030821182182
778,4891.428840731603
779,4897.667731305929
780,4904.058049704709
781,4910.443362605449
782,4916.404985621061
783,4922.887190783121
784,4929.142860202829
785,4935.50919279721
786,4941.746563759569
787,4947.93323247075
788,4954.259709317537
789,4960.495197432602
790,4966.965586039323
791,4973.14330179751
792,4979.614475008397
793,4985.70147516562
794,4991.919885877491
795,4998.1225404220995
796,5004.376783200914
797,5010.68186888142
798,5017.150180448001
799,5023.457525592402
800,5029.531719327055
801,5036.062527535846
802,5042.20790290645
803,5048.5540736199955
804,5054.9838016888025
805,5061.195448864743
806,5067.362097175545
807,5073.583016324974
808,5079.740139314563
809,5086.166590829951
810,5092.500578445171
811,5098.706158823518
812,5105.074936386705
813,5111.378932578889
814,5117.631947099592
815,5123.87261774687
816,5130.237668779329
817,5136.548182684269
818,5142.678134018747
819,5149.211452471646
820,5155.343685727622
821,5161.638614810325
822,5167.990736597535
823,5174.226422075516
824,5180.5815994329605
825,5186.798183493268
826,5192.991412646464
827,5199.371992043629
828,5205.504654377555
829,5211.913068276044
830,5218.182074613583
831,5224.447771234099
832,5230.738914475862
833,5236.846768629635
834,5243.263266350591
835,5249.610608638658
836,5255.900495094924
837,5262.064927248812
838,5268.57745085417
839,5274.647447892441
